order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
2727415,253,train,4,5,12,3
2008056,255,train,5,0,23,29
961500,256,train,19,0,11,28
1056167,258,train,25,6,12,26
1976038,259,train,4,6,11,30
3227316,260,train,18,4,11,30
1162736,261,train,9,3,17,4
1905437,262,train,46,0,22,3
2383385,264,train,30,3,9,8
1665716,267,train,10,6,11,30
676206,270,train,23,6,18,30
985905,271,train,16,2,13,3
2662084,272,train,10,4,13,16
2014989,273,train,20,0,20,13
3411419,278,train,69,2,13,2
3059590,280,train,42,1,6,8
445784,282,train,4,5,18,2
145016,283,train,6,1,12,3
3261724,284,train,17,2,11,13
78426,285,train,5,5,8,14
3529,286,train,4,4,9,19
1184332,288,train,4,6,14,20
1473392,289,train,50,4,14,14
1374681,291,train,5,2,12,17
2692535,293,train,9,1,16,30
1911431,294,train,16,0,12,30
405264,295,train,24,2,14,8
208213,296,train,7,3,12,4
1979266,298,train,4,3,14,16
1546561,300,train,39,4,18,5
540284,304,train,43,5,19,6
1940141,305,train,5,1,15,30
1957838,306,train,25,1,8,14
2600069,309,train,26,4,13,1
988,310,train,100,2,9,4
2956359,313,train,100,1,6,4
877974,314,train,6,4,11,30
3072356,315,train,5,3,23,24
1640076,317,train,5,0,17,6
1054904,319,train,9,0,18,2
1684761,322,train,15,0,17,21
3012300,323,train,72,1,12,4
1215744,324,train,12,6,12,30
39637,325,train,8,6,13,6
2560537,326,train,6,3,15,27
1331374,327,train,64,1,15,3
3174585,328,train,13,2,11,27
1606411,329,train,9,0,19,14
2147369,330,train,8,3,17,6
1751465,334,train,64,1,20,2
3077453,337,train,13,1,17,30
1430705,340,train,6,6,10,14
281630,341,train,12,1,11,30
107908,342,train,17,4,7,30
1841063,343,train,5,5,15,10
1652713,345,train,4,2,9,19
980530,346,train,7,6,20,30
563865,348,train,29,3,3,7
959285,349,train,8,1,8,5
1989223,350,train,15,0,12,7
2898937,351,train,15,0,20,9
2143540,353,train,12,6,13,30
3081810,355,train,14,6,16,30
2376514,357,train,9,5,9,10
394279,358,train,8,1,17,30
2908855,359,train,16,1,15,6
15694,361,train,7,3,15,2
607923,363,train,13,1,13,10
2942881,365,train,16,0,12,7
461187,370,train,28,5,17,30
174574,371,train,4,1,15,20
1682739,372,train,13,6,22,30
1412429,374,train,17,1,14,14
811612,375,train,8,1,13,30
960774,376,train,9,6,12,30
1558843,377,train,4,3,18,30
2721521,378,train,9,2,17,27
2294073,379,train,20,2,16,30
2385890,380,train,13,6,14,3
14172,382,train,30,4,17,10
3206948,383,train,10,5,11,30
2057992,384,train,10,4,13,16
280751,385,train,5,0,11,30
1910258,387,train,9,4,10,30
2294856,390,train,23,6,17,20
2328904,391,train,24,1,16,29
36665,393,train,11,4,13,27
3163411,395,train,4,3,18,30
445900,396,train,19,1,6,30
2950974,399,train,4,1,15,18
2534943,401,train,5,5,10,5
3014378,402,train,5,0,12,4
3159731,403,train,33,1,13,8
592291,404,train,7,2,14,24
1732187,406,train,5,2,13,5
1392440,409,train,87,1,9,7
2050098,411,train,12,1,18,30
1048290,412,train,5,4,17,20
1363964,414,train,4,4,16,20
2070379,416,train,4,1,7,30
1560176,417,train,10,3,15,14
1449813,419,train,25,1,12,21
437145,421,train,4,1,12,30
1902284,425,train,8,5,9,21
1643238,426,train,14,2,12,30
1899614,429,train,30,4,14,16
2608193,430,train,9,6,14,6
539212,431,train,10,5,10,7
488785,432,train,53,0,19,7
3194530,433,train,6,3,18,22
484245,434,train,5,0,14,8
1101383,435,train,14,0,15,14
2236871,437,train,20,3,13,14
2029736,438,train,12,5,14,10
1454689,441,train,15,3,22,25
2623337,442,train,13,3,11,9
113754,444,train,43,5,10,7
1848722,446,train,9,6,16,30
1110720,448,train,34,6,22,6
3244965,449,train,22,4,18,1
1439514,452,train,25,0,20,19
1881413,453,train,14,1,9,21
2769206,454,train,55,3,14,7
2908601,456,train,7,5,10,30
2212127,457,train,5,0,16,7
683205,459,train,24,6,12,8
362051,465,train,41,5,7,7
3293782,466,train,32,5,16,14
2046585,468,train,7,1,10,23
2455208,469,train,9,2,13,30
2000464,470,train,17,4,15,6
417305,471,train,7,5,15,10
2010297,472,train,5,2,9,30
1739738,473,train,12,0,12,18
1714467,475,train,29,4,9,11
461914,476,train,17,4,10,7
3054083,477,train,5,2,18,17
638714,478,train,9,5,17,30
1944317,479,train,24,4,20,8
1039817,480,train,13,5,13,4
1528819,481,train,36,0,16,12
659655,483,train,10,3,11,30
1439424,484,train,11,4,16,0
3101204,486,train,13,0,15,30
1290287,487,train,34,6,21,9
2479559,488,train,7,0,21,30
29983,489,train,8,1,0,30
149666,490,train,4,3,13,30
1191993,491,train,4,3,16,30
1108486,493,train,8,1,10,4
3126335,494,train,4,0,10,30
1614375,495,train,25,0,12,12
863691,497,train,10,3,15,30
188500,499,train,7,4,16,6
3395420,501,train,7,1,18,30
709201,502,train,8,0,20,30
54762,504,train,5,4,12,30
395479,506,train,5,4,22,26
2692766,509,train,12,2,12,4
797018,511,train,6,6,18,30
707985,512,train,5,2,9,30
2298416,513,train,4,3,11,30
1011563,514,train,6,1,9,17
3241378,515,train,20,0,13,1
2831272,517,train,5,6,12,14
672357,518,train,6,5,9,30
1949670,519,train,11,3,17,12
2101076,520,train,30,0,8,7
1302095,521,train,7,4,12,30
2542317,523,train,13,4,10,30
2588977,524,train,6,3,17,30
2346527,525,train,37,0,14,11
2569637,526,train,5,1,13,14
497783,527,train,4,1,11,30
229361,528,train,35,0,11,6
2337367,530,train,4,0,16,5
3363870,531,train,30,3,8,15
1409734,532,train,5,1,10,22
17906,533,train,5,2,14,30
1379536,534,train,8,0,10,0
3276697,536,train,4,0,15,16
3004135,538,train,27,2,22,12
2724968,540,train,6,1,13,30
1043105,541,train,6,0,13,30
1726118,542,train,4,0,16,5
2063685,544,train,5,4,16,1
1229133,545,train,5,4,18,5
1340939,546,train,7,3,12,22
1074772,547,train,11,0,18,1
1291650,549,train,11,3,17,21
1608919,550,train,5,3,13,8
1820107,552,train,13,5,7,11
1445911,554,train,7,0,12,21
2405239,555,train,12,2,8,30
451330,558,train,28,5,12,1
1527883,559,train,23,6,12,13
2019153,560,train,35,1,10,7
3235100,561,train,5,6,8,30
3125190,562,train,52,4,11,2
3065466,563,train,6,2,10,8
2101825,565,train,6,1,16,29
3357236,566,train,14,2,20,30
241538,567,train,22,0,20,11
2178585,568,train,11,1,16,8
3158741,569,train,4,3,8,30
2379791,570,train,7,0,17,22
271797,571,train,7,0,16,10
1609767,572,train,4,3,16,1
1144354,573,train,16,1,10,30
1232929,575,train,5,4,21,20
1241717,577,train,6,2,8,4
2127621,580,train,22,6,17,10
1044486,582,train,22,6,14,25
2576004,584,train,9,3,9,2
2244404,585,train,12,4,14,10
29486,586,train,5,5,18,26
3054234,587,train,13,6,8,13
2150770,591,train,8,4,9,6
530341,592,train,5,4,9,30
2918511,593,train,18,6,20,4
2713339,594,train,6,3,13,30
3263278,595,train,8,3,18,30
1816326,597,train,8,4,12,15
1859940,599,train,33,4,17,1
102931,600,train,8,1,16,8
2372949,602,train,8,2,17,14
1220744,603,train,6,2,14,14
205105,604,train,28,0,12,29
3733,605,train,6,1,17,30
2857725,606,train,31,0,22,14
339577,607,train,11,1,17,7
531078,608,train,14,4,21,10
1882095,609,train,19,0,10,12
3293848,611,train,17,5,23,14
2830734,612,train,40,5,10,6
2558969,614,train,4,1,14,20
437954,616,train,29,0,10,8
192822,617,train,11,1,20,7
2413078,619,train,5,3,11,30
416736,620,train,6,4,18,30
2725594,623,train,12,5,11,30
821898,625,train,4,2,14,30
1017699,626,train,95,2,10,5
1933130,628,train,4,0,19,30
415087,632,train,6,3,20,30
3298943,634,train,12,0,22,8
1866656,636,train,22,2,14,28
1974079,637,train,18,3,14,9
151039,638,train,21,0,12,11
2125060,639,train,4,1,18,14
2081127,641,train,30,0,16,5
2342041,644,train,4,1,15,7
428232,646,train,57,5,10,4
1224638,647,train,10,5,21,24
1549043,648,train,5,1,8,30
78051,649,train,46,6,20,13
2316417,650,train,10,6,9,7
1408873,655,train,79,0,9,2
2901230,657,train,31,6,19,7
812040,667,train,76,0,13,6
1035261,669,train,29,6,7,30
3267146,670,train,6,6,11,30
219986,671,train,9,0,16,30
1600279,672,train,19,1,18,30
2376860,674,train,5,1,12,4
632715,676,train,12,0,13,26
1735653,677,train,6,5,10,23
1405257,680,train,7,1,19,1
783434,682,train,20,3,8,17
1696391,684,train,27,1,9,7
143284,685,train,5,4,9,16
2810951,687,train,20,6,14,4
1204921,689,train,4,3,15,30
3327840,690,train,100,4,11,2
1379024,691,train,23,6,23,16
1842223,692,train,12,6,18,23
2524486,694,train,9,6,22,21
1063245,695,train,4,5,16,6
2643096,696,train,39,2,10,30
2451495,697,train,6,0,11,26
2154325,699,train,37,0,10,9
3002915,700,train,9,6,10,3
261370,703,train,10,1,12,7
2127707,704,train,7,6,19,20
959637,705,train,7,5,20,8
1191841,707,train,13,5,10,30
1202012,708,train,15,2,11,30
1307498,709,train,6,0,22,6
1054283,710,train,17,0,9,14
2357159,711,train,6,6,10,10
219467,712,train,5,6,17,30
398828,713,train,16,2,19,13
1985172,714,train,16,6,11,18
1122780,715,train,14,5,12,10
67479,716,train,5,3,21,8
944659,717,train,8,1,18,8
921692,718,train,4,1,7,30
3107150,719,train,73,6,19,2
2059831,722,train,9,6,16,30
1368829,723,train,14,2,16,12
3096583,724,train,4,2,16,30
251996,725,train,10,5,11,20
3264066,726,train,8,5,16,7
1504712,727,train,22,3,17,9
2793933,728,train,19,1,9,16
1738759,729,train,60,1,10,7
1550154,731,train,10,0,9,12
1387253,733,train,5,1,16,30
1378817,735,train,10,6,14,4
1166135,736,train,4,3,17,30
275130,737,train,16,0,12,14
1436723,741,train,30,1,21,8
223389,742,train,14,2,19,3
60905,743,train,6,2,17,26
1403740,746,train,9,2,19,30
553676,748,train,4,2,19,17
2726080,749,train,10,4,16,4
3205651,750,train,4,0,17,6
63770,751,train,7,2,6,30
565931,753,train,4,6,13,30
3197269,754,train,14,0,12,30
2919312,755,train,13,5,14,4
64766,756,train,22,1,11,10
14287,757,train,6,0,16,30
2877517,759,train,4,5,15,30
1167274,760,train,5,4,10,8
440384,761,train,9,6,9,30
2914876,765,train,6,2,17,8
1556053,767,train,32,4,16,9
2667408,768,train,34,0,14,13
2112754,769,train,13,1,16,15
2871469,770,train,5,1,16,7
49291,774,train,11,3,8,23
3116656,775,train,9,0,6,30
2248477,776,train,4,5,15,30
2110387,777,train,27,1,12,7
2354554,779,train,7,0,8,19
1971243,781,train,8,3,11,7
888267,782,train,5,0,11,30
980285,783,train,4,0,16,30
2208324,784,train,8,6,10,9
90628,786,train,100,0,10,2
3070078,788,train,4,0,10,30
303762,789,train,12,1,8,21
1515554,790,train,5,6,21,27
2227916,792,train,9,1,16,9
2038177,795,train,13,0,13,21
556139,796,train,8,5,18,23
670090,797,train,19,0,13,30
2513420,799,train,16,3,18,12
2558109,800,train,22,6,17,8
1553088,801,train,6,5,11,4
1181590,803,train,8,0,12,5
3347074,804,train,16,3,21,5
1089130,805,train,5,1,15,30
3056331,808,train,4,0,15,30
1941111,809,train,22,6,18,11
975061,814,train,4,3,15,12
2445,816,train,5,0,16,30
1786829,818,train,70,3,8,15
2626310,820,train,5,2,10,26
917873,821,train,4,0,13,7
3067908,822,train,4,2,16,30
2331570,824,train,22,5,9,7
2943041,829,train,4,2,14,1
985778,831,train,20,5,13,30
683623,833,train,12,2,11,22
2934974,835,train,5,4,11,30
2054288,836,train,14,1,19,30
874570,838,train,24,2,15,7
1504504,839,train,27,1,13,30
2391548,840,train,10,5,21,15
2932543,841,train,16,0,11,14
2802645,844,train,19,1,9,22
1537934,845,train,23,6,12,6
129013,846,train,5,4,9,17
2436377,847,train,38,1,17,8
1241668,848,train,44,0,17,8
1114234,849,train,30,0,13,1
92317,852,train,38,0,19,13
3415312,854,train,84,0,14,3
265281,855,train,16,2,12,11
2322058,856,train,5,5,10,30
83856,857,train,47,0,6,7
1652829,859,train,8,5,11,5
2232869,863,train,11,1,15,30
20460,864,train,30,4,12,9
692135,865,train,4,5,11,30
592557,866,train,23,0,16,15
2648197,867,train,6,4,19,30
1963578,868,train,86,5,13,6
3373111,871,train,8,0,20,30
1526056,872,train,5,3,12,30
2144171,873,train,9,6,11,6
1088647,874,train,14,0,16,7
1534424,875,train,5,1,13,12
2376580,879,train,57,0,10,4
718132,880,train,50,4,11,30
2716795,881,train,18,1,14,18
26968,882,train,5,4,13,3
1604634,883,train,13,2,14,9
1666193,884,train,4,2,12,30
1305670,885,train,22,3,20,12
556180,886,train,23,1,19,12
2689040,887,train,9,2,7,30
509989,888,train,16,3,13,3
2689584,889,train,6,2,15,30
3353496,890,train,21,5,11,14
846979,891,train,16,6,18,30
3271309,892,train,13,4,14,12
1393688,895,train,6,1,11,20
3036648,897,train,5,6,13,30
631808,898,train,53,1,8,8
1880459,899,train,11,2,21,3
1196150,900,train,8,3,9,14
1750098,901,train,5,3,17,30
1729675,905,train,5,2,5,4
968909,906,train,5,0,11,14
979263,907,train,24,0,8,7
374322,909,train,4,1,10,19
2742119,913,train,28,3,8,20
309741,915,train,10,4,15,19
1806432,916,train,7,0,13,30
3330301,917,train,26,4,8,10
2444452,919,train,11,0,11,30
1498776,920,train,5,2,12,30
757211,921,train,13,5,10,15
1148045,922,train,4,5,19,19
15213,923,train,13,6,16,30
2435106,925,train,4,1,22,12
1058952,928,train,9,0,16,30
914910,929,train,4,5,17,7
700471,930,train,5,1,18,30
1261929,932,train,32,6,17,4
178268,933,train,33,0,17,7
1988586,934,train,6,2,13,30
1832849,935,train,19,2,16,19
3202163,936,train,7,6,12,28
2107544,937,train,11,0,19,30
1148938,938,train,15,5,20,11
3108576,939,train,7,0,15,30
2180302,940,train,8,4,11,15
2314737,941,train,10,6,8,4
1876414,943,train,4,5,14,22
127522,944,train,4,4,14,13
1739018,946,train,19,4,9,29
3277128,947,train,40,0,10,30
951151,948,train,10,0,14,30
2136949,949,train,9,6,13,9
3339284,950,train,16,1,13,30
809820,951,train,4,2,18,30
1182819,952,train,4,6,13,30
3419642,953,train,10,1,11,30
1100805,954,train,12,3,13,4
967656,956,train,12,0,15,7
2638832,957,train,33,1,16,4
3138460,958,train,38,0,13,7
1888855,962,train,28,4,16,3
244128,967,train,5,6,10,30
1288850,968,train,59,2,12,7
1080892,970,train,7,2,10,20
2109659,971,train,25,1,13,25
2073686,973,train,26,0,11,8
3202493,974,train,7,6,10,30
1441412,976,train,5,5,15,0
1826689,977,train,14,0,8,5
2188922,979,train,15,3,17,17
2555679,981,train,7,3,18,6
1759116,982,train,14,0,10,11
547273,983,train,7,4,12,6
96292,984,train,51,3,20,2
3215722,985,train,10,2,11,30
2753827,986,train,21,6,11,11
411854,987,train,8,1,1,30
395208,989,train,4,3,11,5
122224,990,train,10,0,18,8
910179,991,train,6,1,15,13
3289231,992,train,22,5,14,30
637980,994,train,11,1,12,13
1982039,996,train,5,3,9,30
903956,1000,train,8,0,13,21
1056108,1002,train,19,5,10,29
1392921,1003,train,9,1,23,7
252897,1006,train,5,0,14,17
355501,1007,train,9,3,11,19
2055364,1008,train,7,0,15,4
3382300,1011,train,8,2,14,22
1940438,1012,train,9,6,8,6
1389513,1013,train,20,6,5,29
1585569,1014,train,7,0,15,30
1504831,1015,train,12,6,9,6
2987108,1016,train,6,2,17,28
2613422,1017,train,6,6,6,30
1985010,1019,train,10,3,17,28
1226914,1021,train,33,1,11,8
2614856,1022,train,79,3,15,3
221711,1024,train,100,2,10,1
1572263,1025,train,8,0,15,30
827834,1026,train,6,6,12,30
2143665,1027,train,48,0,14,7
668770,1029,train,27,4,16,1
2643636,1030,train,4,6,9,30
1868918,1031,train,10,1,10,25
838618,1032,train,4,4,14,30
1639708,1033,train,5,0,14,6
1129605,1034,train,7,1,15,22
3147418,1035,train,28,4,15,17
2042218,1036,train,32,0,21,10
406446,1038,train,15,0,22,15
11052,1039,train,7,0,19,30
2573243,1040,train,9,4,15,5
1453822,1041,train,16,2,20,15
2020589,1042,train,8,2,15,30
1727267,1044,train,27,5,13,8
1323382,1046,train,4,0,16,30
2216237,1048,train,4,1,12,25
1646879,1050,train,27,2,15,30
443227,1052,train,21,1,18,8
2446265,1053,train,5,1,10,30
3161232,1054,train,6,5,16,13
2330932,1055,train,16,1,17,7
2799858,1056,train,17,3,11,22
1860271,1058,train,44,0,12,8
2406692,1059,train,36,1,16,7
3161966,1060,train,11,2,9,6
2071098,1061,train,4,3,16,30
295980,1063,train,4,0,16,30
1758679,1065,train,6,2,11,10
1510345,1066,train,55,4,9,9
300459,1067,train,19,2,15,7
1430544,1068,train,4,1,12,30
2109825,1069,train,7,0,16,30
1920482,1070,train,5,1,9,30
276012,1071,train,9,4,21,14
1438109,1072,train,16,1,11,7
1268099,1073,train,6,6,13,6
3039780,1077,train,13,0,10,18
393494,1078,train,9,0,12,5
595633,1079,train,9,0,12,30
2717227,1080,train,13,3,22,5
1922310,1081,train,8,5,11,30
2407138,1084,train,34,6,8,10
2341197,1085,train,4,3,17,30
604625,1086,train,6,1,10,3
1542868,1088,train,16,3,7,2
1111743,1089,train,16,0,18,14
526858,1090,train,5,1,16,2
51155,1091,train,6,3,10,30
1594212,1093,train,9,0,19,7
1598697,1094,train,6,2,10,14
327915,1095,train,32,3,18,3
2065685,1099,train,9,0,14,13
387140,1101,train,24,5,0,8
3135267,1102,train,10,1,16,30
2597353,1104,train,8,2,17,30
364097,1105,train,8,4,13,14
1461756,1106,train,9,3,11,30
437041,1107,train,33,5,16,11
1237525,1110,train,5,0,11,30
356584,1112,train,12,0,12,30
2999631,1113,train,5,1,21,30
1527770,1114,train,4,0,11,30
1081030,1118,train,10,5,11,25
1650233,1120,train,75,6,19,7
3409264,1122,train,21,4,8,7
564594,1123,train,8,6,9,8
2034086,1128,train,9,2,14,30
1663465,1129,train,4,5,8,4
2916351,1130,train,50,1,9,6
1678834,1131,train,8,1,15,18
659066,1132,train,13,2,9,5
1058980,1133,train,7,5,9,5
3367947,1134,train,11,4,21,3
2560858,1136,train,26,3,18,4
541039,1139,train,30,0,11,12
249702,1140,train,12,3,10,21
1186686,1141,train,31,2,12,5
1263386,1142,train,39,3,17,9
599773,1143,train,4,6,18,14
304668,1144,train,4,0,22,30
3392152,1145,train,4,3,13,6
2237430,1146,train,4,0,14,30
1725556,1147,train,16,5,15,25
1476764,1150,train,48,2,11,5
153579,1151,train,6,0,14,30
401928,1155,train,19,0,10,6
1489846,1157,train,16,0,17,13
796337,1158,train,10,0,15,10
1570737,1162,train,23,2,10,30
169422,1164,train,79,3,23,2
536324,1165,train,24,5,12,7
1787902,1166,train,10,3,6,4
3251213,1167,train,6,6,14,8
530588,1168,train,4,1,12,30
2479253,1169,train,14,3,17,13
2085716,1170,train,17,1,15,13
1123114,1172,train,4,0,17,15
5743,1173,train,56,6,16,8
2961500,1176,train,12,1,16,7
1843281,1180,train,12,0,11,30
998784,1181,train,11,1,13,4
1289473,1184,train,9,5,22,6
1463798,1185,train,11,4,10,6
472417,1186,train,18,5,13,14
723753,1187,train,4,0,12,6
580476,1188,train,11,6,17,20
2597017,1189,train,8,4,15,8
3025307,1190,train,4,0,23,26
1775170,1192,train,4,4,11,30
3130381,1193,train,4,6,17,13
856361,1195,train,5,6,12,30
1345715,1197,train,78,0,10,3
2085640,1199,train,44,5,12,10
1488101,1200,train,5,1,11,30
3335299,1202,train,62,5,13,7
1410397,1204,train,11,1,13,22
74399,1205,train,7,4,15,30
676514,1206,train,19,4,12,2
2140818,1207,train,6,6,19,30
2879697,1208,train,6,0,9,30
1503135,1209,train,9,6,19,18
2584515,1210,train,18,6,10,25
3250346,1213,train,43,2,14,5
1997605,1214,train,8,0,18,29
2652449,1215,train,15,4,16,11
2644015,1216,train,29,5,6,13
3094816,1218,train,4,6,14,5
164257,1219,train,25,4,12,3
1819621,1220,train,16,3,17,18
2561233,1221,train,27,0,10,7
2375630,1222,train,5,6,11,30
589930,1224,train,13,4,11,30
1896032,1226,train,6,3,8,4
729073,1227,train,5,2,17,30
692507,1228,train,4,1,19,29
2705713,1229,train,4,0,14,30
3184936,1233,train,9,3,9,24
471256,1234,train,19,0,15,1
2823840,1239,train,4,3,13,30
3145497,1242,train,72,5,12,1
874923,1243,train,11,5,16,22
201235,1244,train,10,5,21,7
3080461,1246,train,53,4,20,2
647535,1248,train,4,5,18,26
1098556,1249,train,19,0,16,30
2216089,1250,train,54,1,8,7
658472,1252,train,14,6,10,30
3261274,1253,train,8,4,17,9
3171516,1254,train,26,5,22,10
935344,1255,train,7,4,12,27
20440,1257,train,4,5,7,29
1644890,1259,train,15,1,9,30
2241245,1260,train,12,4,11,30
1175646,1262,train,4,0,15,30
2780794,1265,train,6,3,10,30
27339,1268,train,6,6,9,14
1142716,1269,train,6,6,11,1
1704859,1270,train,13,0,8,30
46340,1271,train,49,0,15,4
2551907,1272,train,20,5,13,19
796037,1273,train,8,5,8,11
1759648,1274,train,11,6,7,30
2856374,1277,train,7,2,13,5
245330,1278,train,5,2,9,22
1763204,1280,train,31,0,14,6
3103652,1281,train,22,3,10,6
1630533,1283,train,12,3,7,12
1962716,1284,train,11,5,11,13
1852170,1287,train,8,3,7,16
2416865,1291,train,21,1,8,13
2747933,1292,train,21,6,13,30
396304,1293,train,21,0,14,30
3077618,1294,train,4,0,11,14
510280,1295,train,6,5,16,19
2346976,1297,train,7,3,13,10
2339119,1298,train,9,6,13,20
336364,1299,train,9,6,11,13
1034882,1300,train,7,0,8,30
566254,1301,train,13,0,15,16
545704,1302,train,4,4,16,30
263184,1303,train,7,5,9,30
332326,1304,train,5,6,19,8
958796,1305,train,6,6,15,5
1269882,1306,train,7,5,10,6
1668533,1308,train,4,6,11,30
2799734,1312,train,6,0,12,30
1855656,1313,train,12,5,16,4
1448561,1315,train,10,0,16,23
648241,1317,train,9,1,10,29
1779225,1318,train,4,5,10,21
722928,1319,train,7,6,18,17
1008360,1320,train,26,1,17,30
1664214,1321,train,18,6,15,6
807060,1324,train,5,6,11,14
3229441,1325,train,9,6,13,6
1702096,1331,train,12,1,14,15
463215,1332,train,12,0,13,7
1304565,1333,train,4,3,15,30
1344515,1334,train,15,0,18,30
2125379,1335,train,11,4,20,22
917153,1336,train,7,4,18,30
596220,1338,train,17,3,10,6
3067161,1342,train,7,4,16,19
2871086,1343,train,8,2,20,14
2896211,1344,train,28,3,13,14
953496,1346,train,13,4,13,30
829949,1347,train,12,5,8,2
273406,1352,train,30,3,21,30
434628,1353,train,8,6,19,30
2235878,1354,train,7,3,14,10
